account,date,daily_pnl,avg_trade_size,total_fee,num_trades,prev_day_pnl,rolling_3day_pnl,volatility,sentiment_Extreme Greed,sentiment_Fear,sentiment_Greed,sentiment_Neutral,target
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-27,388.366016,221.81794520547948,5.89000938,73,101.860928,673.7154363333321,742.1305597675084,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-28,506.512551,166.3415873015873,3.62758387,63,388.366016,332.2464983333321,679.57533810526,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-29,115.51218300000001,140.99176470588236,1.67428899,34,506.512551,336.7969166666654,586.8443808626089,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-30,255.808312,455.63544,15.93979237,125,115.51218300000001,292.6110153333321,174.8013908835852,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-31,496.221792,1121.107570093458,37.09483339,107,255.808312,289.1807623333321,166.71434937262873,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-01,109.82694000000001,263.3476271186441,4.20683628,59,496.221792,287.2856813333321,195.73765517890067,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-02,416.546688,217.69336633663366,7.715886,101,109.82694000000001,340.8651399999988,174.63519704015104,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-03,250.581483,217.15115942028987,5.21759794,69,416.546688,258.9850369999988,152.05178514440516,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-04,232.66549799999999,156.68296296296296,4.45112,81,250.581483,299.9312229999988,154.28967329469134,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-05,87.752181,101.1840243902439,2.903942,82,232.66549799999999,190.33305399999878,131.67426745525145,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-06,114.68421000000001,82.075375,2.180784,80,87.752181,145.03396299999878,130.677225565537,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-07,267.846227,103.70087378640777,3.84222532,103,114.68421000000001,156.76087266666545,83.17915748565233,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-08,651.469355,489.99302013422823,25.62455377,149,267.846227,344.66659733333205,225.97053564875506,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-09,571.688942,728.4078640776698,26.62899091,103,651.469355,497.00150799999875,259.9455015007145,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-10,401.706348,522.1204761904762,12.934459,84,571.688942,541.621548333332,218.84676329952998,False,False,False,True,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-11,157.228232,484.2756756756757,6.271357,37,401.706348,376.8745073333321,205.31732097361908,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-12,274.773033,446.3861904761905,9.55187849,63,157.228232,277.9025376666654,204.1384451730363,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-13,53.846609,561.3780327868852,10.70141637,61,274.773033,161.94929133333207,203.37066405655824,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-14,894.564828,995.6730952380951,11.65985,42,53.846609,407.7281566666654,327.6983955355814,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-15,55.137803,240.01052631578946,1.2830669799999999,19,894.564828,334.5164133333321,351.513069542221,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-16,238.995461,136.35540229885058,4.286717,87,55.137803,396.23269733333206,345.81580898496594,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-17,168.92152,118.53914285714285,2.93988,70,238.995461,154.35159466666542,351.20926732084246,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-18,594.135892,195.20691119691122,15.71582039,259,168.92152,334.0176243333321,346.43443383848035,True,False,False,False,1
